tracker_uuid,exchange_uuid,start_time,original_utterance,asr_truth,duration,responses
CN-510c7372-3c04-427f-a5df-bc7100c18a86,8788a013-6b6e-44fe-a9d1-5e6980bfd221,2021-06-10 22:25:20.432751+00:00,cheese,,0.5,"""""""""""""""[('utter_option_not_available_with_available_options', """"""""Sorry, in Chili Cheese Fries we don't have cheese, we only have Add Itsa Patty, Add Lota Patty, Bacon or Bbq Sauce and more""""""""), ('utter_variation_add', 'Sure, I added Chili Cheese Fries.'), ('utter_disambiguate_without_options', 'What Drink would you like?')]"""""""""""""""
CN-510c7372-3c04-427f-a5df-bc7100c18a86,8788a013-6b6e-44fe-a9d1-5e6980bfd221,2021-06-10 22:25:20.432751+00:00,cheese,,0.5,"""""""[('utter_option_not_available_with_available_options', """"""""Sorry, in Chili Cheese Fries we don't have cheese, we only have Add Itsa Patty, Add Lota Patty, Bacon or Bbq Sauce and more""""""""), ('utter_variation_add', 'Sure, I added Chili Cheese Fries.'), ('utter_disambiguate_without_options', 'What Drink would you like?')]"""""""
CN-903270f0-4e59-4f4b-80a5-107900d841c1,dd89db6e-4360-4c12-8643-2aa92c5ebfbf,2021-06-19 22:47:07.457828+00:00,medium,,0.8,"""""""""""""""[('utter_variation_add', 'OK, I added Medium Mountain Dew.'), ('utter_variation_add', """"""""I've added Itsaburrger Meal with Regular Itsaburrger with Bacon, Cheese and Chopped Green Chile, Large Season Fries and Medium Mountain Dew!""""""""), ('utter_anything_else_with_recommendation', 'What else can I get for you today, pepsi goes well with your order')]"""""""""""""""
CN-86123d1c-e719-4a42-9c35-3f249f340190,be24b0df-df4f-4671-b961-69f6c96aa908,2021-06-18 22:56:30.858482+00:00,regular,,2,"""""""""""""""[('utter_variation_add', """"""""I've added Regular Lottaburrger with Mayo and without Mustard!""""""""), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Lottaburrger?')]"""""""""""""""
CN-d64d11ba-2925-4eea-a14a-748f82177736,3ca412f4-e3b6-4d7a-b394-0815539809f5,2021-06-01 19:17:33.919855+00:00,cheese and green chili,,1.9,"[('utter_edited_dish_item', 'Sure I have revised Itsaburrger with cheese and green chili in your order.'), ('utter_disambiguate_without_options', 'What Sides do you want?')]"
CN-3cfa7d8b-31e8-4976-8e4d-c76c05c8611a,01837d5e-affd-47ca-828a-09b779b6f852,2021-06-04 21:11:32.836762+00:00,yes can i get a lot of combo,yes can i get a lota combo ,3.7,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-c2b263dd-cac0-44a1-8c80-a6eeeb3866bd,e45cb77c-43b4-4cbd-8fe4-e81a8138089c,2021-06-03 23:10:58.323036+00:00,a side order of red chili,,2,"""""""""""""""[('utter_option_not_available', """"""""Sorry, in Medium Iced Tea we don't have red chili""""""""), ('utter_variation_add', 'OK, I just added Lottaburrger Meal with Regular Lottaburrger with Lettuce  and Mayo, Medium Fries and Medium Iced Tea.'), ('utter_anything_else', 'What else would you like to add today?')]"""""""""""""""
CN-e405b190-1dc0-404d-a076-073581c1742f,e08b3979-7af4-472c-b2db-dc231783d3d8,2021-06-11 19:21:11.013408+00:00,call lotaburger,a lotaburger,0.7,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-581829a4-4e80-4ff1-8a4a-17fb3a9c4666,a1230c2f-77cb-4899-b970-47ff54b56998,2021-06-21 00:35:43.582821+00:00,medium pepsi,,1.6,"""""""""""""""[('utter_variation_add', 'OK, I added Medium Pepsi.'), ('utter_variation_add', """"""""I've added Itsaburrger Meal with Regular Itsaburrger with Chopped Green Chile, Medium Season Fries and Medium Pepsi!""""""""), ('utter_anything_else', 'What else would you like to add today?')]"""""""""""""""
CN-0429589a-d4a3-4406-ab62-10d8b79025f0,feb8f8fd-b1ae-46c1-b451-c940ff77fb9f,2021-06-03 18:05:18.426621+00:00,large seasoned fries,,2,"[('utter_variation_add', 'OK, I just added Large Season Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-eaa1e67e-5946-43bb-9d6c-e38d61a6758e,c1ef4749-9ce5-4253-bc28-b347a996257b,2021-06-21 20:56:36.374404+00:00,seasoned fries,,0.9,"[('utter_disambiguate', 'In Sides, which one would you like? Large Season Fries or Medium Season Fries')]"
CN-7c2863e4-8b16-4153-9422-856c0a5d00ef,727c6774-7c47-422c-8a08-fcd95b823a0a,2021-06-11 22:33:16.083162+00:00,cvs on mayo no mustard,yes add mayo no mustard ,2.7,"[('utter_edited_dish_item', 'I just modified your Lottaburrger with mayo and without mustard.'), ('utter_anything_else_with_recommendation', 'What else can I get for you today, pepsi goes well with your order')]"
CN-4fffd5be-3a87-4903-bf03-7bb09d7d5f88,adf7d334-64d2-433c-9b44-ae286a83e011,2021-06-10 17:03:48.241179+00:00,breakfast,,0.8,"[('utter_disambiguate_with_more', 'In Breakfast, which one would you like? #1 Bacon Burrito, #2 Sausage Burrito , #3 Classic Burrito With Beans #4 Classic Burrito or say more to hear more options.')]"
CN-5b6c6a3d-f2cd-41d4-937d-25f46d5759a2,6f1aaae2-ce67-4176-9fa1-53f4e3451dae,2021-06-13 20:45:09.658840+00:00,breakfast burrito,,1.2,"[('utter_disambiguate_with_more', 'In Breakfast, which one would you like? #1 Bacon Burrito, #2 Sausage Burrito , #3 Classic Burrito With Beans #4 Classic Burrito or say more to hear more options.')]"
CN-a23031e9-6698-4387-9a0d-0d3b09fcf033,45fee6e6-a385-4297-8327-c02139e31448,2021-06-08 17:06:34.538517+00:00,regular,,1.3,"[('utter_variation_add', 'Sure, I added Regular Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Lottaburrger?')]"
CN-3891734d-ba13-4a52-a980-3116490d7cbc,ece34ca4-1121-4308-8155-7a38c163e366,2021-06-22 02:29:36.673509+00:00,double meat,,0.7,"""""""""""""""[('utter_variation_add', """"""""I've added Double Meat Lottaburrger!""""""""), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Double Meat Lottaburrger?')]"""""""""""""""
CN-35b434bc-2f08-4be1-a50f-f2001d75bfee,3344ba27-2652-4aa9-94e9-1d8354337283,2021-06-15 17:03:55.175479+00:00,that could be it,that should be it,1.3,"[('utter_summary', 'I have #1 Bacon Burrito with No Chile and #1 Bacon Burrito with Green Sauce'), ('utter_summary_price', 'Your total price comes up to $9.14 including tax.'), ('utter_ask_go_ahead', 'Okay, Should we finish your order?')]"
CN-433f5f61-0e64-4bf9-9fca-02cfd0005232,95c2534a-47ba-4ded-83bd-d19b840da995,2021-06-04 17:44:25.533412+00:00,get large fries,just large fries,1.5,"""""""""""""""[('utter_option_not_available', """"""""Sorry, in Large Fries we don't have Cheese""""""""), ('utter_variation_add', 'OK, I added Large Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"""""""""""""""
CN-e4eb6eb6-d86f-476a-bba9-348ab71b9e3f,0d29f475-fe7b-4d94-ba2e-27217a786235,2021-06-16 23:34:36.511007+00:00,strawberry milkshake,,2.7,"[('utter_variation_add', 'OK, I added Shake with Strawberry Syrup.'), ('utter_disambiguate', 'For the Sides which would you like? Large Fries or Large Season Fries')]"
CN-b0d7c9dc-8ab5-4335-b5f0-139ca5a88a6b,3837be61-cbda-4c91-84a9-a08f020403d4,2021-06-13 20:15:04.914755+00:00,chili cheese fry,chili cheese fries ,1.1,"[('utter_variation_add', 'Sure, I added Chili Cheese Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-0429589a-d4a3-4406-ab62-10d8b79025f0,909a9723-d92a-498a-9b5f-bb76b39a3256,2021-06-03 18:04:30.997107+00:00,regular,,0.7,"[('utter_variation_add', 'OK, I added Regular Lottaburrger with Cheese.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile or bacon with your Lottaburrger?')]"
CN-cd75748b-c847-45d6-b9e5-e72e6433518f,a85842cf-1032-4c5d-9f34-1616a682b07c,2021-06-21 20:51:44.596198+00:00,its a burger combo,two  its a burger combo,1.7,"[('utter_combo_dishes', 'The Itsaburrger Meal has Side, Drink and Itsaburrger'), ('utter_dynamic', 'How would you like your itsaburrger, regular or double meat?')]"
CN-0776ddd8-7271-4a00-af6c-33acfa67ed59,e4f092a3-04b8-4219-982e-8004538d2f44,2021-06-15 20:57:02.789679+00:00,nevermind,nevermind just the two lota burger meal ,1.4,"[('utter_variation_not_add', 'Okay I will not add Itsaburrger!'), ('utter_disambiguate_with_more', 'In Side, which one would you like? Chili Cheese Fries, Chili Fries, Large Fries Large Season Fries or say more to hear more options.')]"
CN-bb444830-b492-46e9-93d8-0298326d2efc,ad475851-b531-4aed-ba53-47d0a2f4a8d7,2021-06-14 23:03:35.219446+00:00,regular,,0.7,"[('utter_variation_add', 'Sure, I added Regular Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Lottaburrger?')]"
CN-a132c7df-488a-4ca5-a4a7-8e2120fbde93,d5c0baf5-b5b5-48a1-b78e-2518f8b96430,2021-06-18 16:09:18.322190+00:00,pepsi,,0.6,"[('utter_ask_with_variation', 'For your Pepsi what Sizes, Large or Medium')]"
CN-af9e5061-d781-4b03-8729-5cb856bf70e1,155f24e6-49db-4ac4-b1b1-930c88011258,2021-06-08 19:01:56.672997+00:00,large fries,,1,"""""""""""""""[('utter_variation_add', """"""""I've added Large Fries!""""""""), ('utter_ask_combo_with_name', 'Do you want to convert it into a Lottaburrger Meal')]"""""""""""""""
CN-97df2983-c002-40e4-b151-cbccbe381578,f76f7ac5-f86a-46a4-868c-6b5dd9d1367b,2021-06-20 18:40:35.635203+00:00,frigidaire,regular ,0.7,"[('utter_default', 'Could you say that again, please?'), ('utter_ask_with_variation', 'For your Lottaburrger what Patty, Double Meat or Regular')]"
CN-3b538cdf-309d-47cc-aa06-b9d1c4a7e955,298a4bb4-0122-4396-8413-b0994f134c9e,2021-06-11 19:33:28.629848+00:00,regular,,1,"[('utter_variation_add', 'Sure, I added 2  Regular Itsaburrger.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-7d2aa6a4-2a17-4c43-a443-faa45f0d2f28,9d8da971-a67f-4344-b310-30ae064c83a0,2021-06-03 02:01:28.607508+00:00,a large root beer and a large iced tea,,5.1,"""""""""""""""[('utter_default', """"""""Let's try that one more time, please?""""""""), ('utter_disambiguate_help', 'Please try saying the full item name or just say """"""""no"""""""" to cancel.'), ('utter_anything_else_with_recommendation', 'What else can I get for you today, drink goes well with your order')]"""""""""""""""
CN-0cbc5045-1084-4900-b852-b07da5ce713e,fa7aa95c-4c03-44a5-8382-34f983daec37,2021-06-21 20:52:31.287882+00:00,regular,,2.4,"[('utter_variation_add', 'OK, I added Regular Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Lottaburrger?')]"
CN-a876de76-5b90-4e6d-a294-c890fbf189b2,550c0458-8353-472d-a05b-84f8ac2ba5b3,2021-06-10 18:08:39.409309+00:00,sprite,fries,0.5,"""""""""""""""[('utter_dishes_inactive', """"""""Sorry we don't have Sprite""""""""), ('utter_disambiguate_with_more', 'For the Side which would you like? Chili Cheese Fries, Chili Fries, Large Fries Large Season Fries or say more to hear more options.')]"""""""""""""""
CN-a876de76-5b90-4e6d-a294-c890fbf189b2,550c0458-8353-472d-a05b-84f8ac2ba5b3,2021-06-10 18:08:39.409309+00:00,sprite,fries,0.5,"""""""[('utter_dishes_inactive', """"""""Sorry we don't have Sprite""""""""), ('utter_disambiguate_with_more', 'For the Side which would you like? Chili Cheese Fries, Chili Fries, Large Fries Large Season Fries or say more to hear more options.')]"""""""
CN-c201b8fe-bad6-4cff-95a9-43b76b0fa21e,f09db3e5-4d6f-44ca-a42c-4f9ebe017db6,2021-06-20 15:55:32.826909+00:00,coffee,,0.7,"[('utter_ask_with_variation', 'For your Coffee what Coffee Flavors , Premium or Winterblend')]"
CN-5f631f79-3ada-4a0c-a7ec-47d1b1e84059,4ab9efd5-9bf9-4a52-a49f-02d81a650ef4,2021-06-08 21:24:37.498547+00:00,terry shake,cherry shake,1.8,"[('utter_ask_limited', 'What Shake Flavors for the Shake?')]"
CN-bb92f36a-f9c6-4dc7-bc6d-42329d9799da,f0308f88-28c1-47b6-95b5-0ef23055a2f7,2021-06-14 15:13:51.501483+00:00,bacon egg and cheese burrito no hospital,bacon egg and cheese burrito no hash brown,6.1,"[('utter_disambiguate_with_more', 'In Breakfast, which one would you like? #1 Bacon Burrito, #2 Sausage Burrito , #3 Classic Burrito With Beans #4 Classic Burrito or say more to hear more options.')]"
CN-2368e3ce-363c-4d8d-81af-0277000c1807,b7b5fc1f-d9d0-4aa4-b283-9a563e8c5c67,2021-06-02 17:07:24.023642+00:00,a lot of combo,a lota combo,1.2,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-71eb72c5-0b9b-4767-a388-c040ad09ad5f,ff1c0c27-cea9-42d0-ad81-0647708f4727,2021-06-21 17:39:04.746435+00:00,mortal kombat,lota combo ,1,"[('utter_default', 'Apologies, but could you please repeat that?')]"
CN-b5f80386-1473-44fe-9046-00e0d9171964,2bd33e65-d2d7-499e-a338-ceafa39b14ff,2021-06-09 23:24:20.287230+00:00,large,,0.9,"""""""""""""""[('utter_variation_add', """"""""I've added Large Pepsi!""""""""), ('utter_ask_with_variation', 'What Sizes for your 2nd Pepsi, Large or Medium?')]"""""""""""""""
CN-5ec3ec6f-ae62-42fc-be21-25cab59793ae,2f33892f-cc97-4bb5-956a-0585c8670531,2021-06-09 18:25:54.901292+00:00,large seasoned fries,,1.6,"[('utter_variation_add', 'Sure, I added Large Season Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-822c633e-d166-4abb-901a-88940f7d3eb4,54768886-89ab-42ee-9067-7c43ce20f80c,2021-06-01 16:35:25.549756+00:00,unmada combo with onion rings that are fries,one lotta combo with onion rings instead of fries,3.7,"""""""""""""""[('utter_variation_add', """"""""I've added Onion Rings!""""""""), ('utter_disambiguate_with_more', 'For the Sides which would you like? Chili Cheese Fries, Chili Fries, Large Fries Large Season Fries or say more to hear more options.')]"""""""""""""""
CN-71ff2360-94db-4953-8fec-402a73b19ae3,1cc31b15-6afe-41b1-a7ba-da1dcd85ef4e,2021-06-01 15:38:46.703876+00:00,number two,,0.8,"[('utter_ask_limited', 'What Sauce for the #2 Sausage Burrito ?')]"
CN-324db1e8-53c3-4aa9-9592-1cd2e743838a,f6a474ed-36a8-4f54-b694-093de3e7b194,2021-06-19 20:44:56.549121+00:00,cv mm,medium,0.8,"""""""""""""""[('utter_default', """"""""I'm sorry I missed what you said?"""""""")]"""""""""""""""
CN-e995f7e5-bdee-4602-8462-9d033a710ec1,16122eb7-e9c7-4bdb-b2ab-5d65a815dcd2,2021-06-17 13:36:14.770692+00:00,premium coffee,,1.1,"[('utter_system_handover', 'Please wait, I am connecting you to our team member.')]"
CN-3ab3002a-163d-41fb-840f-e9406999faf5,41e50b67-3f42-43a8-a669-cc0ad47afd37,2021-06-05 19:17:03.589043+00:00,regular,,0.7,"[('utter_variation_add', 'Sure, I added Regular Lottaburrger Mayo, without Mustard and with Cheese.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile or bacon with your Lottaburrger?')]"
CN-8a2ab4ec-4c10-4c47-b08a-2ba2a8b29518,ea9ca29e-87d3-4315-b6be-c019f64e8ffe,2021-06-23 16:33:00.623962+00:00,large combo double meat double cheese,lota combo double meat double cheese extra cheese ,4.4,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_variation_add', 'Sure, I added Double Meat Lottaburrger with Cheese.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile or bacon with your Double Meat Lottaburrger?')]"
CN-2f783daa-dca0-499c-b399-a206588491c8,71f85abb-d799-43b7-aae2-468ab80a4b36,2021-06-04 18:21:38.431370+00:00,dr pepper,,1.1,"[('utter_ask_with_variation', 'For your Dr. Pepper what Sizes, Large or Medium')]"
CN-fe82dc46-8e68-4d60-9722-9b6272bbee71,07e163e2-cfc9-4e97-8efc-9f37ca058429,2021-06-12 18:16:30.079631+00:00,lotaburger menu,lota burger meal,4,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-c009a3f0-608a-4f52-adc2-53e0f350ef94,e9c9a97f-8b8c-45d2-974f-741eefbee4ca,2021-06-19 01:25:53.991254+00:00,french fries,,0.9,"[('utter_disambiguate', 'For the Sides which would you like? Large Fries, Medium Fries or Medium Season Fries')]"
CN-f4e41ae6-9c9a-43c9-839e-4b1104e39b8c,d911387b-386e-4821-9c69-fc977655106f,2021-06-11 17:30:56.020669+00:00,lotaburger combo,,4.2,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-af73dbfb-1890-488d-90cc-eb28974ad80f,d18a2a95-341c-4b90-8c04-00ed4cbd09fd,2021-06-06 21:09:07.104722+00:00,going to be two jumbo hot dogs with cheese bacon no onions and,going to be two jumbo hot dogs with cheese bacon sautéed and chili,6.6,"""""""""""""""[('utter_option_not_available_with_available_options', """"""""Sorry, in Jumbo Hotdog we don't have cheese and onion, we only have Bacon, Bbq Sauce, Blake's Sauce or Blakes Chili Con Carne and more""""""""), ('utter_variation_add', 'OK, I just added 2   Jumbo Hotdog with Bacon.'), ('utter_anything_else', 'What else can I get for you?')]"""""""""""""""
CN-3f9c117c-57f4-46ca-9f18-8f3bd57d881e,e493c89c-bd47-4378-8bfe-c33fcb9a170b,2021-06-07 23:41:53.536973+00:00,fries,,0.5,"[('utter_disambiguate_with_more', 'In Sides, which one would you like? Chili Cheese Fries, Chili Fries, Large Fries Large Season Fries or say more to hear more options.')]"
CN-fddcc65f-cbd3-4100-bc87-7e899f061959,3debfe23-ba8e-4a16-b992-81e56e4a4284,2021-06-18 18:02:15.509249+00:00,large,,0.6,"[('utter_variation_add', 'OK, I added Large Dr. Pepper.'), ('utter_variation_add', 'OK, I just added Lottaburrger Meal with Regular Lottaburrger with Cheese and Chopped Green Chile, Large Fries and Large Dr. Pepper.'), ('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-3e5feeb1-aada-429f-af1e-5953485290ab,d788c12c-6f54-4d60-ab05-261f001cbc89,2021-06-13 18:28:48.509616+00:00,lotaburger,,1.8,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-700df0a9-b88a-4e21-bed4-862521e2d91b,d0bca850-ba88-47bf-ac21-5f544f28ca54,2021-06-10 01:37:09.591611+00:00,is a burger combo,a itsaburger combo ,1.7,"[('utter_disambiguate_combo', 'In burger combo, which one would you like? Itsaburrger Meal or Lottaburrger Meal')]"
CN-ebfca9d4-fd11-4e71-8e4b-817e86d16300,fe160296-716e-41d5-80b4-e50a1e744bf7,2021-06-05 02:02:24.545824+00:00,green chili, green chili and cheese,0.9,"[('utter_edited_dish_item', 'Sure I have revised Lottaburrger with green chili in your order.'), ('utter_disambiguate_without_options', 'What Side would you like?')]"
CN-7ed171f5-af90-4c36-865d-795b5c35409d,3547e1bf-7b2e-4e95-b481-cba311d42d22,2021-06-12 20:10:23.023180+00:00,double meat,,0.9,"[('utter_variation_add', 'OK, I just added Double Meat Itsaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Double Meat Itsaburrger?')]"
CN-ab5d5bd9-9a89-48c5-ac79-d802d413db14,7ff1378a-940d-4ca7-b8ba-b4d33e369f4f,2021-06-01 18:25:28.277823+00:00,regular fries,,1.4,"[('utter_variation_add', 'OK, I added Medium Fries.'), ('utter_disambiguate_with_more', 'In Drink, which one would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"
CN-179cda2e-9d0a-4412-8a46-bc213645a911,18cf9bb4-a857-402c-bcb4-def8c104f7d8,2021-06-21 01:24:51.329233+00:00,green chili and cheese,,3.1,"[('utter_edited_dish_item', 'Sure I have revised Lottaburrger with green chili and cheese in your order.'), ('utter_disambiguate_without_options', 'What Side would you like?')]"
CN-762854b9-22b0-491e-b153-16fc3a72ed59,95d8e298-6c5d-4fe6-a9f0-1139d2200bc8,2021-06-13 19:52:44.479613+00:00,dr pepper,,1.5,"[('utter_ask_with_variation', 'For your Dr. Pepper what Sizes do you want Large or Medium')]"
CN-c338280f-80f6-4cef-9f88-780e40d90483,2965440b-04ac-41d3-825c-21c3a4361413,2021-06-06 00:20:08.336660+00:00,lotaburger,,1.1,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-5598dff6-d44c-4abb-96a0-c53db6ea681c,b45a4047-bfb8-495a-976e-2b3df813c8ce,2021-06-11 02:40:42.653090+00:00,no onions,no onions no onions,0.8,"[('utter_deleted_dish_item', 'OK, I removed onion from your Itsaburrger.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-5598dff6-d44c-4abb-96a0-c53db6ea681c,b45a4047-bfb8-495a-976e-2b3df813c8ce,2021-06-11 02:40:42.653090+00:00,no onions,no onions no onions,0.8,"[('utter_deleted_dish_item', 'OK, I removed onion from your Itsaburrger.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-dace2e51-1f6d-4eb1-8572-e91fb52a967c,ce819381-6df2-4864-bd3b-792edb780c60,2021-06-21 01:13:22.971786+00:00,a lot of combo,a lota combo,1.2,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-1248ce4d-46ff-45ac-a2af-b867f257fad3,d1fad8bd-b5d5-4185-a22f-6b46905c31cd,2021-06-15 17:56:57.533711+00:00,sprite,,0.6,"""""""""""""""[('utter_dishes_inactive', """"""""Sorry we don't have Sprite""""""""), ('utter_disambiguate_with_more', 'For the Drink which would you like? Chocolate Milk, Diet Dr. Pepper, Diet Pepsi Dr. Pepper or say more to hear more options.')]"""""""""""""""
CN-567375bc-020d-4ef7-b9d0-347dbe2f9349,c335e682-c4ef-4299-b078-1c239ce678d7,2021-06-06 17:44:12.408688+00:00,a lot of combo,a lota combos,1,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-7b421274-efda-42c7-b041-e2f995b9db76,43d68ea4-8b58-4529-ad2b-bb18529a1398,2021-06-11 18:17:21.283770+00:00,seasoned fries,,1.4,"[('utter_disambiguate', 'In Sides, which one would you like? Large Season Fries or Medium Season Fries')]"
CN-43a5f46f-002a-42b7-b307-b8e5faea7b7d,1aaabf3f-7724-4921-b747-adc42b0eadaf,2021-06-19 21:05:24.494405+00:00,let me have two,let me have two lota burgers with green chili ,2.3,"[('utter_ask_order', 'Please tell me what are you ordering today?')]"
CN-d8ed6860-f512-4bbb-833f-f239a2c061fc,9e7955d1-5932-4744-ba60-f25b6758e656,2021-06-03 02:05:12.173646+00:00,one more lotto combo large double meat,one more lota combo large double meat with large water,9.5,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_variation_add', 'OK, I added Double Meat Lottaburrger.'), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile, cheese or bacon with your Double Meat Lottaburrger?')]"
CN-a0086815-4318-4ef2-9d4f-98f611e41c9c,4db46a91-5589-4794-85a2-663e210f01bb,2021-06-05 14:55:08.053180+00:00,bacon breakfast burrito easy eggs extra cheese extra green chili,a bacon breakfast burrito easy eggs extra cheese extra green chili,11.5,"[('utter_variation_add', 'OK, I just added #1 Bacon Burrito with extra Cheese, easy Egg and with extra Green Sauce.'), ('utter_anything_else', 'What else can I get for you?')]"
CN-97433e6e-81e3-4718-a815-2b328243c7f5,aa8f615a-57eb-4f60-b800-379c71744821,2021-06-06 14:44:40.133814+00:00,number two,,0.8,"[('utter_ask_limited', 'What Sauce for the #2 Sausage Burrito ?')]"
CN-5f24de97-478a-4efc-9077-a17c9df53dbd,b2d706ca-ec44-43d2-b039-79ccaf67d617,2021-06-09 16:50:27.220816+00:00,two number one,,1.2,"[('utter_ask_limited', 'What Sauce for the #1 Bacon Burrito?')]"
CN-98e9e35f-5a4b-4266-b2bb-080ba61df89f,11ca15b3-bdf4-4f89-ade6-e9e17f495657,2021-06-07 15:16:04.030208+00:00,breakfast sandwich with bacon,,1.4,"""""""""""""""[('utter_variation_add', """"""""I've added Breakfast Sandwich With Bacon!""""""""), ('utter_anything_else', 'What else do you want to add?')]"""""""""""""""
CN-9f48cb93-f332-46ba-ac30-ea6c31d55688,e6ce1fcb-cb82-407c-afff-0c845f3bf54d,2021-06-06 15:18:28.165399+00:00,can i get another number one bacon burrito with christian,can i get another number one bacon burrito with christmas chili ,3.7,"[('utter_ask_limited', 'What Sauce for the #1 Bacon Burrito?')]"
CN-ec1c9013-7f96-49d2-b659-9289c6faf5a6,7c1502f4-2a4e-49d9-af15-ad32a25fcf35,2021-06-04 17:23:15.017719+00:00,a lot of combo,give me a lota combo,2.5,"[('utter_combo_dishes', 'The Lottaburrger Meal has Lottaburrger, Side and Drink'), ('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-a29a83d5-de65-4072-bc9d-87bfcdba34cd,d753631f-d967-4c22-bc18-ec5ad6c97169,2021-06-05 01:51:59.818518+00:00,double meat with bacon lettuce and tomato only,,5.7,"""""""""""""""[('utter_variation_add', """"""""I've added Double Meat Lottaburrger with Bacon, Lettuce  and only Tomato!""""""""), ('utter_ask_recommendation_option', 'Would you like to have chopped green chile or cheese with your Double Meat Lottaburrger?')]"""""""""""""""
CN-cfd585be-086c-4321-8a4c-ce5ef6cc3e1e,8d4e5215-65ac-4b24-9e7d-74f3e8d45073,2021-06-04 16:52:18.223924+00:00,breakfast burrito bacon green extra bacon light dado,breakfast burrito bacon green extra bacon light potato,7.7,"""""""""""""""[('utter_variation_add', """"""""I've added #1 Bacon Burrito with easy Green Sauce and with extra Bacon!""""""""), ('utter_anything_else', 'What else would you like to add today?')]"""""""""""""""
CN-db403891-15c9-4e99-85c2-951c005d43d2,a9cd68b5-78d5-42a5-a115-2eec447d762a,2021-06-03 16:17:08.916119+00:00,breakfast burrito,,1.2,"[('utter_disambiguate_with_more', 'For the Breakfast which would you like? #1 Bacon Burrito, #2 Sausage Burrito , #3 Classic Burrito With Beans #4 Classic Burrito or say more to hear more options.')]"
CN-aeb392fc-68c6-4465-bdb6-77030d08494a,40bd2ee1-a656-45a3-aa37-c9cff63cf6d7,2021-06-23 23:59:27.045510+00:00,3 chicken tender meal,,1.9,"[('utter_system_handover', 'One moment, please, while I get you to our team member.')]"
CN-19de7407-416d-40d3-85b1-03a9a480f94e,c3bd9996-754a-4d1e-8e02-7a076b3e2a20,2021-06-03 00:46:21.474272+00:00,large,,0.6,"[('utter_variation_add', 'OK, I added Large Season Fries.'), ('utter_disambiguate_with_more', 'For the Drink which would you like? Bottle Water, Chocolate Milk, Coffee Diet Dr. Pepper or say more to hear more options.')]"
